"","course","task","weight"
"161","PHRM4011","Online Quiz:Online non-invigilated Mid Semester Exam",0.2
"162","PHRM4011","Online Quiz:Quiz 4",0.02
"163","PHRM4011","Online Quiz:Quiz 5",0.02
"164","PHRM4011","Online Quiz:Quiz 6",0.02
"165","PHRM4011","Online Quiz:Quiz 7",0.02
"166","PHRM4011","Exam - during Exam Period (Central):Online invigilated End of Semester Exam",0.66
"167","PHRM4012","Participation:Vaccination training and certification",0
"168","PHRM4012","Online Quiz:Therapeutics Quiz One",0.02
"169","PHRM4012","Online Quiz:Ethics Quiz",0.02
"170","PHRM4012","Online Quiz:Therapeutics Quiz Two",0.02
"171","PHRM4012","Online Quiz:Therapeutics Quiz Three",0.02
"172","PHRM4012","Exam - Mid Semester Outside Scheduled Class:Patient Integrated Case mid-semester exam",0.17
"173","PHRM4012","Online Quiz:Therapeutics Quiz Four",0.02
"174","PHRM4012","Online Quiz:Therapeutics Quiz Five",0.02
"175","PHRM4012","Exam - during Exam Period (School):OSCE Oral Exam",0.21
"176","PHRM4012","Exam - during Exam Period (Central):PHRM4012 written exam",0.5
"177","PHRM4021","Presentation:1. Poster (Individual assessment)",0.25
"178","PHRM4021","Prework:2. Formulation Prework and Plan (Group assessment)",0.1
"179","PHRM4021","Paper:3. Integrating theory (Individual assessment)",0.65
"180","PHRM4022","Blackboard Quiz #1 (Group Assessment):Tablet QC Project: Preparation Worksheet",0.1
"181","PHRM4022","Blackboard Quiz #2 (Individual Assessment):QC Case Studies: A) API Identity/Purity",0.15
"182","PHRM4022","Blackboard Quiz #3 (Individual Assessment):QC Case Studies: B) Dosage Form Analysis",0.15
"183","PHRM4022","Lab Book & Results Summary (Ind & Gp Assessment):Tablet QC Project: Lab Book & Results Summary",0.3
"184","PHRM4022","Oral Presentation (Group Assessment):Tablet QC Project: Oral Presentation",0.3
"185","PHRM4031","Online Quiz:Weekly quiz",0.1
"186","PHRM4031","Written Assignment:Assignment One",0.15
"187","PHRM4031","Written Assignment:Assignment Two",0.15
"188","PHRM4031","Exam - during Exam Period (Central):Business of Healthcare Exam",0.6
"189","PHRM4061","Statement:Confidentiality Statement",NA
"190","PHRM4061","Project Plan:Ethics and Project Approval Application",0.2
"191","PHRM4061","Work-based Assessment:Preceptor Evaluation",NA
"192","PHRM4061","Attendance:QUM Research Placement",NA
"193","PHRM4061","Professional Development Log:Reflective Placement Diary",0.1
"194","PHRM4061","Project Report:QUM Research Reports (Written & Oral presentation)",NA
"195","PHRM4061","Attendance:QUM Research Project Oral Presentation Attendance",NA
"196","PHRM4062","Work-based Assessment:Placement Attendance and Student Evaluation",NA
"197","PHRM4062","Professional Development Log:Lifelong Learning (2) & Employability (1) Tasks",0.3
"198","PHRM4062","Professional Development Log:Seven (7) NCS & QUM Tasks",0.7
"199","PHRM4080","Project Plan:Pitch your research plan",0.1
"200","PHRM4080","Literature Review:Literature Review",0.15
"201","PHRM4080","Paper:Research Paper",0.45
"202","PHRM4080","Resource File:Research data records and performance",0.1
"203","PHRM4080","Reflection:Seminar Reflection",0.1
"204","PHRM4080","Presentation:Final Oral Presentation",0.1
